part,rank,global_pos,coord,turn,sgf_file,board_npy,analysis_file
32,3,1365,E4,1,pos_1365/game.sgf,pos_1365/board.npy,pos_1365/analysis.json
33,1,776,A6,19,pos_776/game.sgf,pos_776/board.npy,pos_776/analysis.json
33,2,4548,A1,1,pos_4548/game.sgf,pos_4548/board.npy,pos_4548/analysis.json
33,3,1384,PASS,1,pos_1384/game.sgf,pos_1384/board.npy,pos_1384/analysis.json
34,1,5507,A1,33,pos_5507/game.sgf,pos_5507/board.npy,pos_5507/analysis.json
34,2,2387,A1,1,pos_2387/game.sgf,pos_2387/board.npy,pos_2387/analysis.json
34,3,1466,A1,1,pos_1466/game.sgf,pos_1466/board.npy,pos_1466/analysis.json
35,1,4516,D6,13,pos_4516/game.sgf,pos_4516/board.npy,pos_4516/analysis.json
35,2,582,F6,9,pos_582/game.sgf,pos_582/board.npy,pos_582/analysis.json
35,3,2431,D2,10,pos_2431/game.sgf,pos_2431/board.npy,pos_2431/analysis.json
36,1,3434,PASS,1,pos_3434/game.sgf,pos_3434/board.npy,pos_3434/analysis.json
36,2,4673,PASS,1,pos_4673/game.sgf,pos_4673/board.npy,pos_4673/analysis.json
36,3,2167,G1,1,pos_2167/game.sgf,pos_2167/board.npy,pos_2167/analysis.json
37,1,6255,A1,1,pos_6255/game.sgf,pos_6255/board.npy,pos_6255/analysis.json
37,2,4369,A1,24,pos_4369/game.sgf,pos_4369/board.npy,pos_4369/analysis.json
37,3,4370,A1,24,pos_4370/game.sgf,pos_4370/board.npy,pos_4370/analysis.json
38,1,2978,A1,41,pos_2978/game.sgf,pos_2978/board.npy,pos_2978/analysis.json
38,2,5626,D3,13,pos_5626/game.sgf,pos_5626/board.npy,pos_5626/analysis.json
38,3,5462,E5,9,pos_5462/game.sgf,pos_5462/board.npy,pos_5462/analysis.json
39,1,6554,PASS,1,pos_6554/game.sgf,pos_6554/board.npy,pos_6554/analysis.json
39,2,1145,PASS,1,pos_1145/game.sgf,pos_1145/board.npy,pos_1145/analysis.json
39,3,1443,PASS,1,pos_1443/game.sgf,pos_1443/board.npy,pos_1443/analysis.json
40,1,1757,B4,1,pos_1757/game.sgf,pos_1757/board.npy,pos_1757/analysis.json
40,2,4189,B4,12,pos_4189/game.sgf,pos_4189/board.npy,pos_4189/analysis.json
40,3,3451,F4,7,pos_3451/game.sgf,pos_3451/board.npy,pos_3451/analysis.json
41,1,426,A5,1,pos_426/game.sgf,pos_426/board.npy,pos_426/analysis.json
41,2,2498,A6,1,pos_2498/game.sgf,pos_2498/board.npy,pos_2498/analysis.json
41,3,4387,G2,19,pos_4387/game.sgf,pos_4387/board.npy,pos_4387/analysis.json
42,1,3644,A1,1,pos_3644/game.sgf,pos_3644/board.npy,pos_3644/analysis.json
42,2,722,F4,1,pos_722/game.sgf,pos_722/board.npy,pos_722/analysis.json
42,3,2662,B5,1,pos_2662/game.sgf,pos_2662/board.npy,pos_2662/analysis.json
43,1,2571,A6,26,pos_2571/game.sgf,pos_2571/board.npy,pos_2571/analysis.json
43,2,3279,A1,46,pos_3279/game.sgf,pos_3279/board.npy,pos_3279/analysis.json
43,3,2799,G3,1,pos_2799/game.sgf,pos_2799/board.npy,pos_2799/analysis.json
